名字,室,厅,面积,朝向,精装还是简装,挂牌价,成交价,价格,建房时间,成交周期
金强大学城,2,2,65.84平米,东南,简装,583000,590000,8855,高楼层(共28层) 2009年建板塔结合,64
锦天国际,2,2,79.63平米,南,简装,1420000,1420000,17833,中楼层(共32层) 2009年建板塔结合,54
戛纳湾金棕榈,2,1,75.29平米,西北,精装,1600000,1570000,20853,高楼层(共32层) 2016年建板塔结合,162
凯德风尚,3,1,89.49平米,东,精装,2220000,2170000,24249,中楼层(共19层) 2012年建板塔结合,8
景尚景一期,3,1,107平米,西南,精装,930000,930000,8692,高楼层(共33层) 2012年建板楼,393
恒大新城二期,2,2,89.78平米,东南,其他,1068000,1060000,11763,高楼层(共33层) 2018年建板塔结合,8
建发中央鹭洲,4,2,122.67平米,西北,精装,3700000,3700000,30163,低楼层(共30层) 2014年建板塔结合,46
北回归线一期,2,2,81.79平米,南,精装,1090000,1090000,13327,中楼层(共22层) 2009年建板塔结合,36
西财学府尚郡,4,2,139.94平米,西北,毛坯,1230000,1230000,8790,低楼层(共11层) 2013年建板楼,407
万科第五城,4,2,116平米,南 北,精装,1710000,1690000,14526,中楼层(共26层) 板塔结合,45
招商雍华府二期,3,1,99.32平米,西南,精装,2040000,2040000,20540,低楼层(共20层) 2014年建板塔结合,18
锦蓉佳苑,2,1,84.5平米,东南,精装,1680000,1660000,19586,高楼层(共32层) 2014年建板塔结合,63
绿地468公馆一期,3,1,89.11平米,东北 东南,精装,2140000,2080000,23342,低楼层(共33层) 2015年建板塔结合,39
中信城左岸,2,2,71.52平米,西南,精装,1406000,1400000,19575,中楼层(共26层) 板楼,68
加州花园,2,1,90.06平米,东南,其他,900000,880000,9716,中楼层(共18层) 板塔结合,8
滨江和城,3,2,68.87平米,西,简装,1320000,1370000,19791,高楼层(共33层) 2018年建板塔结合,64
友谊苑(温江),3,2,123.46平米,南 北,简装,670000,650000,5249,中楼层(共7层) 暂无数据,50
槐树苑二期宏苑,1,1,48.75平米,北,精装,630000,630000,12919,高楼层(共6层) 2004年建板楼,342
华润二十四城一期,2,1,89.75平米,南,简装,1830000,1830000,20390,高楼层(共32层) 2009年建板塔结合,79
东坡小区,3,2,83.4平米,南,其他,1550000,1550000,18586,低楼层(共7层) 1998年建板楼,84
新园社区,1,1,47平米,东,精装,510000,510000,10852,高楼层(共6层) 板塔结合,30
恒大天府半岛二期,2,2,93.24平米,南,精装,1580000,1550000,16624,低楼层(共18层) 2011年建板塔结合,41
合谊同华,3,2,101.88平米,南,毛坯,720000,700000,6871,高楼层(共10层) 板塔结合,129
英郡一期,3,2,148.6平米,东南,精装,2650000,2650000,17834,中楼层(共32层) 2009年建塔楼,734
中信城右岸,3,2,103.84平米,东南,毛坯,1700000,1680000,16179,中楼层(共33层) 2018年建板塔结合,23
长城半岛城邦二期,4,1,134.1平米,南,精装,4280000,4280000,31917,中楼层(共33层) 2011年建板塔结合,12
枫桥映月,2,2,85.94平米,西南,精装,1060000,1060000,12335,中楼层(共6层) 暂无数据,53
心怡紫晶城,3,1,131平米,东,毛坯,1928000,1900000,14489,高楼层(共31层) 2011年建塔楼,257
邦泰华府公馆,2,2,63.91平米,西北,简装,980000,980000,15335,低楼层(共17层) 2016年建板塔结合,254
空港星品地,2,1,60.95平米,西,简装,700000,700000,11485,中楼层(共14层) 2013年建板塔结合,59
绿地世纪城,2,1,74.08平米,南,精装,1075000,1080000,14512,低楼层(共21层) 2016年建塔楼,9
南湖世纪,2,2,71.56平米,西北,精装,1350000,1360000,19006,高楼层(共30层) 2016年建板楼,131
兴蓉南二巷1号,1,1,40.95平米,东南,简装,560000,530000,12943,中楼层(共7层) 2000年建板楼,229
时代天府,2,1,67.28平米,西南,精装,1070000,1070000,15800,中楼层(共26层) 2017年建塔楼,83
元益花园,2,1,81.77平米,南,精装,1280000,1260000,15309,中楼层(共21层) 2014年建板楼,8
金地嘉年华城A区,3,2,104.05平米,南,精装,2308000,2230000,21394,高楼层(共25层) 2010年建板楼,43
中铁瑞景誉都(廖家桥路),2,1,80.79平米,南,精装,925000,880000,10831,高楼层(共11层) 板楼,328
成都后花园三期,3,2,100.38平米,西南,精装,1620000,1620000,16139,中楼层(共25层) 2012年建板塔结合,19
龙门镇二期,3,1,110.5平米,北,精装,1950000,2000000,18100,高楼层(共33层) 2013年建塔楼,64
中信城左岸,3,2,88.61平米,西,精装,1760000,1760000,19863,中楼层(共33层) 2015年建板楼,78
润扬双铁广场,3,2,83.16平米,南,精装,1255000,1260000,15092,高楼层(共29层) 2015年建板塔结合,16
蜀都花园,2,1,95.04平米,西北,简装,1450000,1420000,14942,高楼层(共20层) 2003年建塔楼,40
骑士郡,3,1,86.53平米,东南,简装,1215000,1220000,14007,高楼层(共18层) 2016年建塔楼,154
公园1号,2,2,62.23平米,东南,简装,700000,700000,11249,高楼层(共27层) 2016年建板塔结合,23
金茂光明城市,3,2,114平米,南 北,精装,2320000,2310000,20264,高楼层(共33层) 2016年建板塔结合,8
众合北尚二期,3,1,128.34平米,南,简装,950000,930000,7247,高楼层(共7层) 2011年建板楼,338
合能锦城,3,1,82.15平米,南,精装,1470000,1460000,17773,中楼层(共32层) 2015年建塔楼,173
时代锦城,2,2,79.77平米,东南,精装,898000,900000,11258,低楼层(共15层) 2011年建塔楼,753
富力桃园A区,2,2,75.98平米,西北,精装,810000,810000,10661,低楼层(共32层) 2015年建板楼,201
二十一世纪花园四期,3,2,142.56平米,西,精装,2380000,2350000,16485,中楼层(共6层) 2003年建板楼,17
正成城市乐章,3,1,88.69平米,南,毛坯,1450000,1420000,16011,高楼层(共22层) 2014年建板楼,78
恒创蜀都公馆,2,1,87.6平米,东南,精装,830000,840000,9532,中楼层(共24层) 2012年建板楼,36
锦江华庭,3,1,136.11平米,东南,简装,2670000,2670000,19617,中楼层(共21层) 2007年建板楼,53
北京城建龙樾熙城,3,2,90.7平米,南,简装,1590000,1580000,17343,中楼层(共15层) 板塔结合,266
南湖国际社区一期,2,2,83.5平米,东,精装,1515000,1500000,17905,低楼层(共34层) 2010年建塔楼,26
四季映像,2,1,56.66平米,东北,精装,860000,850000,15002,高楼层(共33层) 2012年建板塔结合,6
清江花园,4,2,149.13平米,北,简装,2290000,2290000,15356,高楼层(共16层) 2003年建塔楼,134
禾嘉利好,1,1,58.23平米,东南,简装,628000,620000,10614,低楼层(共18层) 2007年建塔楼,8
棠湖泊林镇,2,2,90.25平米,东,简装,1095000,1100000,12133,中楼层(共14层) 2011年建板塔结合,175
银诚归墅,4,2,410平米,南,毛坯,7530000,7530000,18366,低楼层(共3层) 2011年建板塔结合,333
利通出水芙蓉,3,2,124.64平米,西北,简装,1580000,1580000,12677,高楼层(共6层) 2005年建板楼,189
中铁西城西苑,3,2,94.01平米,南,简装,2200000,2200000,23402,中楼层(共18层) 2014年建板塔结合,81
锦绣东方一期,3,1,82.5平米,西南,简装,1318000,1320000,15976,高楼层(共33层) 2008年建塔楼,176
三和南庭,3,2,118.72平米,南 北,简装,1490000,1390000,11640,高楼层(共6层) 2005年建板楼,38
嘉美地,2,1,67.6平米,西,其他,1128000,1130000,16687,高楼层(共26层) 2012年建板塔结合,20
积家御景,3,2,88平米,南,简装,1040000,1010000,11478,低楼层(共33层) 2016年建塔楼,10
千禧河畔C区,3,2,81.3平米,西,毛坯,985000,990000,12116,高楼层(共33层) 2016年建板塔结合,392
巴黎都市二区,3,1,86.08平米,东,简装,1250000,1230000,14266,中楼层(共18层) 2015年建塔楼,35
洲际亚洲湾B区,2,2,81.23平米,南,毛坯,900000,900000,11080,高楼层(共32层) 2017年建板塔结合,228
中铁瑞城三号线,3,1,89.93平米,北,精装,1800000,1780000,19794,低楼层(共12层) 2012年建塔楼,36
河畔华苑一期,3,2,100.39平米,南,简装,1650000,1750000,17433,高楼层(共6层) 2003年建板楼,4
南城都汇汇曦园三期,2,1,89.76平米,南,简装,1960000,1960000,21837,高楼层(共18层) 2013年建板塔结合,51
海棠佳苑,2,1,72.74平米,西,精装,1250000,1250000,17185,高楼层(共33层) 板塔结合,18
上东一号一期,3,2,85.62平米,东,精装,1220000,1220000,14156,中楼层(共18层) 2008年建板塔结合,9
首创万卷山,2,1,67.11平米,北,毛坯,950000,920000,13709,中楼层(共34层) 2013年建板塔结合,7
中铁瑞景颐城,3,1,80.11平米,西北,简装,1600000,1580000,19661,低楼层(共21层) 2013年建板楼,257
上锦颐园佳境,2,2,88.81平米,东南,其他,850000,850000,9571,高楼层(共26层) 2012年建板塔结合,30
恒大新城一期,2,2,89.91平米,东南,其他,1090000,1000000,11123,高楼层(共32层) 2016年建板塔结合,9
远光水印城,2,1,70.84平米,东北 东,精装,1260000,1260000,17787,中楼层(共16层) 2009年建板塔结合,37
清水人家三期,2,1,80平米,南,其他,770000,770000,9600,低楼层(共5层) 暂无数据,54
汉嘉国际,2,1,58平米,东,精装,1030000,1010000,17276,低楼层(共13层) 2018年建板塔结合,215
浅水半岛一期,2,1,72.43平米,东南,其他,1350000,1330000,18308,中楼层(共18层) 2008年建板塔结合,13
卓锦城六期,3,2,89.16平米,东南,其他,2180000,2150000,24036,中楼层(共31层) 2014年建板塔结合,3
正基城市主场,2,1,56.55平米,西北,精装,890000,880000,15474,中楼层(共20层) 2012年建板塔结合,35
优诗美地,3,1,110平米,东南,简装,860000,850000,7728,中楼层(共5层) 板楼,5
蜀风庭院,3,2,90.21平米,东南,精装,630000,620000,6873,低楼层(共6层) 2009年建板楼,22
锦江苑(武侯),2,1,85.92平米,东南,简装,900000,900000,10475,中楼层(共7层) 1998年建板楼,50
月光诚品,2,2,86.88平米,南,简装,1430000,1430000,16460,中楼层(共12层) 2011年建板楼,51
格林城,3,2,95.28平米,西,精装,1660000,1630000,17108,中楼层(共24层) 2017年建板塔结合,45
正成金楠尚府,3,1,74.42平米,东南,精装,1280000,1250000,16770,低楼层(共24层) 2016年建板塔结合,162
绿野天城,2,1,72.47平米,西南,简装,1220000,1190000,16421,低楼层(共18层) 2007年建塔楼,387
会所花园,2,1,63.22平米,东南,精装,750000,750000,11864,中楼层(共12层) 2002年建板楼,261
东苑F区,3,1,116平米,南,精装,3030000,3030000,26121,高楼层(共28层) 2013年建板塔结合,64
宇众悦府,3,1,55.83平米,东南,精装,1015000,1000000,17912,高楼层(共25层) 2013年建板塔结合,14
兴元华盛一期,2,1,78.44平米,东南,精装,1050000,1040000,13163,中楼层(共18层) 2008年建板塔结合,51
花样年花样城,3,2,87.98平米,东 北 东北,精装,798000,800000,9071,高楼层(共25层) 2010年建板塔结合,56
恒大名都,2,1,76.53平米,西,精装,1450000,1430000,18686,低楼层(共31层) 2012年建塔楼,68
世纪金沙,2,1,89.04平米,南,简装,1860000,1860000,20890,高楼层(共24层) 2009年建塔楼,263
怡水居,3,2,110平米,东南,精装,1280000,1260000,11455,低楼层(共6层) 2008年建板楼,140
中铁西城西苑,1,1,46.41平米,南,精装,850000,840000,18100,中楼层(共15层) 2014年建板塔结合,442
翰城,2,1,74平米,东南,精装,620000,610000,8217,高楼层(共6层) 2009年建板楼,57
沙河北岸,3,2,120.52平米,东南,精装,1356000,1330000,11003,高楼层(共6层) 2006年建板楼,29
华侨凤凰国际城,2,1,66.87平米,东南,精装,800000,800000,11964,低楼层(共25层) 2016年建塔楼,8
阳光印象,2,2,85.35平米,东南,精装,690000,690000,8085,低楼层(共6层) 板楼,109
喜悦美湖,3,2,136.1平米,东南,精装,1660000,1650000,12124,中楼层(共32层) 板塔结合,78
欣宇都市港湾,2,2,88.8平米,东南,简装,1120000,1080000,12131,低楼层(共11层) 2010年建板楼,430
沙河上一期,3,1,89.02平米,西北,简装,1600000,1600000,17974,中楼层(共13层) 2011年建板塔结合,368
皇后国际,2,1,72.03平米,东南,简装,2930000,2930000,40678,高楼层(共32层) 2009年建板塔结合,542
梨花街1号,3,1,98.79平米,北,其他,2180000,2180000,22068,中楼层(共7层) 1989年建板塔结合,4
金河谷一期,4,1,155平米,西南,其他,2330000,2330000,15033,中楼层(共26层) 2009年建板塔结合,1
西班牙森林二期,3,2,90.17平米,东,其他,1060000,1050000,11645,高楼层(共27层) 2014年建板塔结合,39
绿地世纪城,3,2,86.48平米,西,简装,1430000,1410000,16305,中楼层(共20层) 2016年建塔楼,196
南阳锦城晶品,2,1,71.17平米,南,精装,1350000,1300000,18267,低楼层(共14层) 2012年建塔楼,62
远大都市风景四期,4,2,134.81平米,西北,精装,2730000,2670000,19806,低楼层(共30层) 2010年建板塔结合,753
金色鱼凫,3,1,112.92平米,东南,精装,1330000,1310000,11602,中楼层(共18层) 2011年建塔楼,90
海骏达蜀都1号凯悦二期,2,1,78.44平米,东南,简装,980000,960000,12239,中楼层(共31层) 2013年建板塔结合,9
鸿阁一号,2,1,75.86平米,东,精装,1260000,1230000,16215,中楼层(共24层) 2009年建塔楼,49
嘉年华国际社区,4,2,158.43平米,南,精装,3118000,3120000,19681,中楼层(共31层) 2014年建板楼,34
花香庭院,2,1,76.68平米,西南 东北,精装,935000,940000,12194,中楼层(共6层) 2005年建板楼,33
海棠月色,1,1,47.17平米,南,其他,940000,940000,19928,高楼层(共8层) 2002年建塔楼,8
华宇楠苑,3,2,119.23平米,西南,精装,2800000,2780000,23317,中楼层(共11层) 2012年建板塔结合,296
金沙兰亭,3,2,126.65平米,西北,精装,2715000,2720000,21438,高楼层(共16层) 2007年建板楼,150
中国铁建国际城,3,1,88.05平米,南,精装,1190000,1190000,13516,低楼层(共34层) 2015年建塔楼,12
华侨凤凰国际城,4,2,113.66平米,东南,精装,1200000,1200000,10558,中楼层(共32层) 2015年建板楼,170
两河锦地,2,1,88.2平米,东南,简装,942000,950000,10681,高楼层(共18层) 2009年建板楼,205
西财学府阳光,2,1,72.5平米,南,毛坯,790000,790000,10869,低楼层(共32层) 2015年建板塔结合,217
银滩,1,1,46.54平米,东南,精装,588000,580000,12330,中楼层(共32层) 2015年建板塔结合,400
弘邦领邸,2,1,61.88平米,东南,精装,2390000,2390000,38624,低楼层(共32层) 2009年建板塔结合,9
力迅领筑,1,0,46.97平米,东,精装,730000,720000,15329,高楼层(共30层) 2010年建板楼,15
浅水半岛二期,2,1,89平米,西南,精装,1530000,1510000,16967,高楼层(共27层) 2009年建板塔结合,39
会所金澜苑,3,2,89.19平米,东南,精装,1750000,1730000,19397,高楼层(共18层) 2015年建塔楼,110
中粮锦云,3,1,74平米,东,精装,1800000,1800000,24325,中楼层(共28层) 2016年建板塔结合,16
通锦苑,2,2,80.34平米,东,简装,1010000,1010000,12572,中楼层(共7层) 2000年建板楼,431
金彭中路85号,2,2,75平米,东北,精装,450000,450000,5947,低楼层(共6层) 暂无数据,5
世纪滨江,4,2,118.92平米,东南,精装,1300000,1300000,10932,高楼层(共26层) 2014年建板塔结合,30
建设北村52号,2,1,75.34平米,南,简装,880000,860000,11415,低楼层(共6层) 板楼,12
蓝光COCO金沙一期,2,2,64.21平米,东南,毛坯,1228000,1230000,19125,低楼层(共22层) 2014年建板塔结合,163
水韵华府,3,2,147平米,南,毛坯,1720000,1720000,11701,中楼层(共8层) 2012年建板塔结合,573
南阳锦城,5,1,289.16平米,南,简装,2350000,2350000,8127,低楼层(共6层) 2008年建板塔结合,340
兴元华盛三期,3,2,116.76平米,东南,简装,1450000,1410000,12041,中楼层(共18层) 2010年建板塔结合,29
水韵华府,4,2,145.58平米,东,精装,1995000,2000000,13704,中楼层(共9层) 2012年建板塔结合,29
碧华邻,3,1,143.37平米,北,精装,3450000,3390000,23646,低楼层(共18层) 2007年建板塔结合,74
辰兴锦城国际,2,2,76.77平米,南 北,简装,600000,600000,7751,高楼层(共26层) 2014年建暂无数据,84
武海中华青城,2,2,84平米,东南,简装,880000,860000,10179,低楼层(共3层) 2012年建板塔结合,52
欣宇都市港湾,2,2,88.8平米,东南,其他,1426000,1430000,16059,中楼层(共11层) 2010年建板楼,29
都江花园瑞园,2,2,98.8平米,南,精装,600000,580000,5820,低楼层(共6层) 2006年建板楼,238
四海逸家二期,4,2,96.76平米,东南,毛坯,3800000,3780000,39066,中楼层(共34层) 2013年建板楼,669
皇庭国际中心,3,1,115.96平米,南,精装,2900000,2900000,25009,低楼层(共27层) 塔楼,39
卓锦城六期,3,2,144.48平米,东南,精装,3500000,3500000,24225,中楼层(共28层) 2014年建板塔结合,238
山水四季城,2,1,84.84平米,东南,精装,960000,950000,11151,高楼层(共33层) 板塔结合,66
南阳锦城,2,2,81.83平米,东南,简装,1420000,1380000,16865,低楼层(共6层) 2008年建板塔结合,133
中铁二局玛塞城,2,1,54.63平米,西北,简装,970000,970000,17756,低楼层(共32层) 2015年建塔楼,345
现代城人民公园,1,1,51.03平米,南,精装,700000,700000,13718,高楼层(共23层) 2004年建板楼,66
融城后街,1,1,52.01平米,西,精装,800000,800000,15382,高楼层(共17层) 2009年建板塔结合,136
大庆路101号,3,2,67.6平米,南,精装,882000,890000,13048,中楼层(共7层) 1997年建板楼,16
公园1号,4,2,72平米,西南,简装,880000,880000,12223,高楼层(共25层) 2016年建板塔结合,654
领地海纳时代,2,1,59.4平米,西南,精装,980000,980000,16499,高楼层(共34层) 2016年建板塔结合,201
中信未来城南区,2,1,51.86平米,东南 南,简装,600000,600000,11474,低楼层(共27层) 2013年建塔楼,143
王家坝街21号,1,1,66.32平米,南,毛坯,1000000,980000,14777,低楼层(共6层) 板楼,486
驿都城,3,2,79.58平米,东北,精装,1170000,1170000,14703,中楼层(共32层) 2016年建塔楼,67
太极花园,3,2,123.55平米,东南,精装,808000,810000,6540,高楼层(共6层) 2005年建板楼,165
泰基花溪谷,4,2,181.65平米,西南 东北,毛坯,2780000,2780000,15305,中楼层(共5层) 2005年建板楼,31
金科天籁城,2,1,72.03平米,东,精装,1100000,1060000,14717,高楼层(共33层) 2014年建板塔结合,310
东林小区,1,1,46.73平米,东,简装,480000,480000,10272,中楼层(共6层) 2003年建板楼,76
红星国际,2,2,79.33平米,北,简装,2030000,2030000,25590,低楼层(共34层) 2012年建塔楼,238
香木林新城,2,1,85.61平米,西,简装,1800000,1800000,21026,高楼层(共11层) 2005年建板楼,42
颐和京都,3,2,88.46平米,东南,简装,1550000,1540000,17387,低楼层(共24层) 2012年建塔楼,191
尚林幸福城,2,2,68.77平米,东南,精装,646000,650000,9394,高楼层(共14层) 板塔结合,9
龙光君悦华庭二期,3,2,91.85平米,东南,精装,1130000,1130000,12303,低楼层(共25层) 2016年建板楼,209
海桐三期,1,1,46平米,西南,简装,570000,560000,12174,中楼层(共24层) 2014年建塔楼,35
瀚城新天地,2,2,76平米,南,其他,580000,580000,7566,低楼层(共26层) 板塔结合,3
蓝光圣菲town城,2,1,65.24平米,北,简装,930000,920000,14102,中楼层(共23层) 2009年建板塔结合,42
金楠缤纷,2,2,61.06平米,西南,精装,965000,970000,15805,中楼层(共16层) 2015年建板塔结合,49
美洲花园棕榈湾,3,1,89.29平米,西北,其他,1490000,1490000,16688,高楼层(共22层) 2016年建板楼,20
金沙蜜地,2,1,63.9平米,东,精装,916000,920000,14335,高楼层(共25层) 2010年建塔楼,21
御龙山一期,2,2,86.05平米,西南,精装,2218000,2220000,25772,高楼层(共27层) 2016年建板楼,89
沙河丽景,2,2,76.34平米,东南,精装,1320000,1300000,17030,高楼层(共11层) 2008年建板楼,15
蓝色加勒比广场,1,0,33.85平米,南,其他,380000,370000,10931,高楼层(共7层) 2003年建板楼,48
汇融名城A区,1,1,46.18平米,南,简装,810000,800000,17216,低楼层(共18层) 2010年建塔楼,875
民主小区A6区,2,1,70平米,东南,精装,498000,500000,7072,中楼层(共6层) 板楼,12
城市绿舟花园,2,1,85.55平米,南,简装,1110000,1110000,12975,低楼层(共6层) 2004年建板楼,748
北城映像东区,2,1,82.2平米,东南,简装,677000,660000,8018,中楼层(共18层) 板塔结合,27
鸿运星城,4,2,134平米,东 西,其他,1076000,1060000,7881,低楼层(共6层) 暂无数据,41
麓山国际帕萨迪纳1组,2,2,90.67平米,西,简装,1020000,1030000,11316,高楼层(共6层) 2006年建板楼,1282
文星花园,3,2,93.72平米,南,精装,1150000,1150000,12271,低楼层(共18层) 2010年建板楼,209
丽雅美锦,2,1,67.91平米,东,精装,520000,510000,7437,中楼层(共26层) 板塔结合,11
温哥华花园,3,1,122.86平米,南,精装,1530000,1500000,12210,低楼层(共9层) 2006年建板楼,156
星光华印象,3,2,85.6平米,东南,精装,1185000,1150000,13435,高楼层(共42层) 2017年建板塔结合,27
银都花园欣苑五期,4,2,157.41平米,西,精装,3200000,3200000,20330,高楼层(共11层) 2001年建板塔结合,18
两河锦地,2,2,85.64平米,东北,精装,1030000,1030000,12028,中楼层(共18层) 2009年建板楼,159
中国西部文化城,2,1,67.64平米,南,精装,890000,880000,13011,中楼层(共16层) 2016年建板塔结合,26
蜀都万达广场,4,2,126平米,西南,精装,1400000,1370000,10874,低楼层(共32层) 2016年建板楼,344
东城美地,2,2,60平米,东南,精装,850000,840000,14000,高楼层(共34层) 2014年建塔楼,9
浅水半岛一期,2,1,88.02平米,西北,其他,1620000,1620000,18405,低楼层(共27层) 2008年建塔楼,34
交大花园武侯小区,2,1,67.8平米,东南,简装,700000,700000,10325,高楼层(共7层) 2000年建板楼,403
瑞安城中汇,3,2,155.68平米,西北,简装,3200000,3180000,20427,中楼层(共31层) 2015年建板塔结合,566
经典魅力,2,2,87.79平米,北,简装,605000,610000,6892,中楼层(共6层) 板楼,10
傲城,2,1,70.13平米,东北,精装,1000000,1000000,14260,中楼层(共31层) 2015年建板塔结合,10
恒大名都,2,2,76.53平米,西北,精装,1480000,1450000,18947,中楼层(共31层) 2012年建塔楼,30
置信丽都花园城B区,4,2,142.08平米,东南,精装,2700000,2750000,19356,低楼层(共13层) 2006年建板塔结合,26
布坝子街8号,3,1,73.35平米,东,简装,860000,860000,11725,中楼层(共7层) 1994年建板楼,65
棠湖泊林城,3,1,104.52平米,西北,毛坯,1530000,1510000,14447,中楼层(共33层) 2017年建板塔结合,44
恒大帝景,3,1,109.9平米,东南,精装,1190000,1160000,10556,高楼层(共29层) 2016年建塔楼,248
南城都汇汇曦园三期,2,2,85.58平米,南,精装,2300000,2250000,26292,低楼层(共18层) 2013年建板塔结合,79
马克公馆一期,3,1,92平米,南,简装,1276000,1280000,13870,高楼层(共18层) 2015年建板塔结合,78
檀香花园,3,2,92.41平米,西南,精装,1498000,1500000,16211,低楼层(共26层) 2011年建塔楼,7
德商华府天骄,3,2,66平米,西,精装,1405000,1410000,21288,中楼层(共29层) 2016年建塔楼,7
望江橡树林一期,1,1,54.11平米,东,精装,1030000,1000000,18481,中楼层(共34层) 2009年建板塔结合,34
西郡兰庭,2,2,83.18平米,东北,精装,930000,920000,11061,低楼层(共17层) 2010年建板塔结合,21
龙城1号,3,1,82.37平米,东南,精装,1740000,1700000,20639,中楼层(共33层) 2013年建塔楼,26
锦江城市花园二期,2,1,51.19平米,南,简装,855000,830000,16215,中楼层(共34层) 2010年建板塔结合,19
怡和新城E区,2,2,74.69平米,东,其他,700000,680000,9105,低楼层(共30层) 2000年建塔楼,1
蓝光金悦府,3,2,88平米,东南,简装,1280000,1280000,14546,低楼层(共24层) 2017年建塔楼,131
美城悦荣府,5,2,67.82平米,西,毛坯,2025000,2030000,29859,高楼层(共34层) 2017年建板塔结合,35
国光揽悦,4,2,93.48平米,南,简装,910000,880000,9414,低楼层(共25层) 2014年建塔楼,154
华润国际社区,3,1,78.76平米,东南,精装,1225000,1230000,15554,中楼层(共34层) 2016年建板塔结合,3
中海外北岛,5,2,208.59平米,东南,毛坯,850000,850000,4075,低楼层(共6层) 2016年建板楼,334
天空城,1,1,53.06平米,东南,精装,869000,870000,16378,中楼层(共28层) 2010年建板塔结合,60
龙湖三千庭,3,1,81.69平米,西南,毛坯,1380000,1420000,17383,低楼层(共33层) 板楼,53
文家巷18号,3,1,78平米,东南,简装,890000,890000,11411,高楼层(共6层) 2000年建板楼,143
朝阳时代西锦,2,2,89平米,西南,精装,1060000,1060000,11911,高楼层(共33层) 2014年建板塔结合,14
锦江印象,1,1,47.43平米,西北,简装,1040000,1040000,21928,高楼层(共31层) 2008年建板塔结合,18
成华奥园广场一期,3,2,95.55平米,东南,精装,1960000,1960000,20513,高楼层(共30层) 2016年建板塔结合,43
四季康城,3,2,76.25平米,北 东北,简装,1100000,1080000,14099,高楼层(共18层) 2013年建板塔结合,414
绿地世纪城,1,1,50.62平米,北,简装,710000,710000,14027,低楼层(共16层) 2016年建塔楼,82
青秀城,2,1,81.15平米,南,其他,1200000,1170000,14418,高楼层(共18层) 2012年建板塔结合,7
蜀都惠园,2,1,67.41平米,西南,简装,1210000,1200000,17802,高楼层(共27层) 2010年建塔楼,111
温哥华南苑,1,1,60.98平米,西,简装,760000,740000,12136,低楼层(共16层) 2013年建板塔结合,7
蓝光coco国际一期,2,1,53.18平米,西,简装,938000,930000,17488,中楼层(共38层) 2016年建板塔结合,192
锦江印象,2,1,77.14平米,西南,简装,1690000,1680000,21779,中楼层(共31层) 2008年建板塔结合,9
二十一世纪花园二期,4,2,139.6平米,南 北,简装,2020000,1930000,13826,高楼层(共8层) 2003年建板楼,126
国际花园,1,0,48.17平米,东,简装,620000,620000,12872,高楼层(共15层) 2005年建板塔结合,56
金科一城,3,1,84.96平米,西南,简装,1345000,1350000,15831,低楼层(共20层) 2012年建塔楼,12
水韵尚城,3,1,150.12平米,南 北,毛坯,1330000,1300000,8660,中楼层(共25层) 2009年建板塔结合,716
蓝光圣菲town城,2,1,76.79平米,北,简装,1000000,980000,12763,中楼层(共23层) 2009年建板塔结合,273
中铁瑞城三号线,2,2,68.31平米,南,精装,1338000,1330000,19471,中楼层(共12层) 2012年建塔楼,49
丽景天成,2,1,75.8平米,西,简装,1215000,1220000,16030,中楼层(共22层) 2004年建板塔结合,238
红湖公园城,2,1,70.4平米,南 北,精装,740000,740000,10398,中楼层(共26层) 2013年建板塔结合,111
文苑路48号,3,1,65.34平米,东南,简装,700000,700000,10714,高楼层(共7层) 板楼,153
水韵华府,4,2,188.86平米,南 北,精装,1960000,1980000,10484,低楼层(共9层) 2012年建板塔结合,302
蓝光幸福满庭,3,2,77.54平米,东南,精装,1260000,1240000,15928,高楼层(共25层) 2014年建板塔结合,57
金瓯路330号,2,1,76.78平米,东南,简装,1080000,1060000,13806,高楼层(共6层) 1999年建板楼,30
北新润苑二期,3,1,115.24平米,南,毛坯,1312000,1320000,11385,低楼层(共18层) 2012年建板塔结合,45
锦江城市花园三期,2,1,57.07平米,东南,精装,940000,940000,16472,高楼层(共34层) 2011年建板塔结合,17
朝阳时代西锦,3,1,98.29平米,东南,简装,1080000,1060000,10785,高楼层(共33层) 2014年建板塔结合,16
大城际,2,1,87平米,东南,精装,1556000,1560000,17886,高楼层(共32层) 2009年建板塔结合,27
蓝光锦绣城21栋,2,2,64.99平米,东南,简装,920000,900000,13849,低楼层(共33层) 2015年建塔楼,765
远大林语城南庭,3,2,98.62平米,东,毛坯,1450000,1450000,14703,高楼层(共12层) 板塔结合,29
会所金澜苑,2,2,88.05平米,西南,精装,1555000,1560000,17661,低楼层(共18层) 塔楼,28
东山领地,3,2,88.73平米,东,精装,1160000,1140000,12826,中楼层(共33层) 板塔结合,97
太禾水晶城,3,1,121.34平米,东南,其他,1200000,1200000,9890,高楼层(共11层) 2008年建板楼,7
华润二十四城二期,2,1,68.23平米,东北,精装,1650000,1650000,24183,中楼层(共32层) 2010年建板塔结合,42
华润二十四城三期,3,2,89.2平米,东,精装,2410000,2410000,27018,中楼层(共30层) 2012年建板塔结合,165
绿地468云玺五期,2,2,77.32平米,西北,毛坯,1510000,1490000,19270,高楼层(共39层) 板塔结合,132
佳兆业君汇上品,3,2,129.49平米,东北,精装,2390000,2330000,17994,低楼层(共25层) 2013年建板塔结合,50
